"otherChangesBeforeSpaceUseChange","maxIgisPerGroupBeforeSpaceChange","groupNumber","changeDate","emdOfChangeShortPeriod","emdOfChange","nDominanceChanges","diffAdultsAndSubAdults","realChange"
1,2,13,2011-04-15,596.319111097215,902.369858855,0,0,TRUE
0,1,17,2012-02-12,706.156696908073,922.190931740002,0,1.33333333333333,TRUE
0,0,19,2012-10-01,634.575993176927,1367.1819774925,0,6.33333333333334,TRUE
0,2,22,2012-12-25,630.035023592348,980.924348585736,0,0,TRUE
0,1,9,2013-10-23,969.24143542999,692.3563571625,0,-1.25,TRUE
0,2,22,2013-12-25,460.45588317863,598.189068740001,0,-1.03571428571429,TRUE
0,0,13,2014-06-10,1189.40801529703,1695.759572155,0,-0.125,TRUE
0,1,9,2015-04-01,792.354575023303,685.568291100001,0,0,TRUE
1,0,15,2015-04-08,1193.16963311594,1316.1507962925,0,-1,TRUE
0,1,14,2017-01-15,1054.55638971818,1702.8355298025,3,1.57142857142857,TRUE
